*** START OF AKTAHEADER ***
Başlık: All About Dogs
Yazar: Charles Henry Lane
Yayın Tarihi: April 14, 2014 [EBook #45377]
Dil: English
Link: https://www.gutenberg.org/ebooks/45377
Çeviri: Python-deep_translator-GoogleTranslator
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of All About Dogs, by Charles Henry Lane

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org/license


Title: All About Dogs
       A Book for Doggy People

Author: Charles Henry Lane

Illustrator: R. H. Moore

Release Date: April 14, 2014 [EBook #45377]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

*** START OF TURKISH PART ***
Chris Curnow, monkeyclogs ve http://www.pgdp.net adresindeki Çevrimiçi
Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu
dosya The Internet Archive tarafından cömertçe sağlanan
resimlerden üretilmiştir)

KÖPEKLER HAKKINDA HER ŞEY
_Köpek İnsanları İçin Bir Kitap_

TARAFINDAN
CHARLES HENRY LANE
_Yetiştirici, Sergi Sahibi, Jüri_

[İllüstrasyon: _Pellissier & Allen, Ph. Sc._
Chas. H. Lane]

KÖPEKLER HAKKINDA HER ŞEY

KÖPEK İNSANLARI İÇİN BİR KİTAP
CHARLES HENRY LANE'DEN

Yetiştirici, Sergi Sahibi, Jüri

ZAMANIMIZIN EN ÜNLÜ ŞAMPİYONLARININ SEKSEN YEDİ RESMİYLE
YAŞAMDAN ÇİZİLMİŞ

R. H. MOORE'DAN

[Resim: Çeşitli köpekler.]

JOHN LANE
LONDRA VE NEW YORK
1901

Telif Hakkı
JOHN LANE'e aittir
1900

RIGGS PRINTING CO.
ALBANY, N.Y., ABD

_Dünyanın dört bir yanındaki Köpek severlere ve hayranlarına,
BU KÜÇÜK KİTAP
Yazar tarafından saygıyla ithaf edilmiştir, en sadık, bağlı ve güvenilir
DOST
İnsan Irkının._

İLLÜSTRASYONLAR

ÖN RESİM. YAZARIN FOTOGRAVÜRÜ.

------------------+-----------------------+---------------------+-----------------
ÇEŞİT. | HAYVAN ADI. | SAHİBİN ADI. | Sayfa.

Kulübelerimden ve köpeklerimden bahsederken, uzun yıllar boyunca eski bir Great Western Railway vagonunun bunların bir parçası olduğunu, birinci sınıf, ikinci sınıf, üçüncü sınıf kompartımanlardan ve bir bagaj vagonundan oluştuğunu, genel bir kural olarak her bölümde bir çift erkek ve dişi köpeğimiz olduğunu ve bagaj vagonunu bisküviler için kullandığımızı söylemediğimi düşünüyorum. Okuyucularımdan bazıları aynı deneyi denemek isteyebilir, diyebilirim ki
yolda hiçbir zorluk yok, genellikle Swindon'da farklı boyutlarda tren vagonları (at arabaları da satın alabileceğinizi düşünüyorum
ve genellikle inek ve kümes hayvanları ve araba ve tuzak kulübeleri için kullanılan kamyonlar) satılıyor, ben de beş pounda satın aldım.

Elbette, sadece gövdeydi, alt kısmında demir parçası yoktu,
ama pencereler, kapılar, koltuklar, havalandırmalar, vb. ile herhangi bir minder veya döşeme yoktu, ancak yapmam gereken tek masraf, köy demircisinin her pencere çerçevesinin dışına küçük demir çubuklar takmasını sağlamaktı, böylece pencereleri açıp bol hava alabiliyorduk,
mahkumların dışarı çıkma korkusu olmadan. Şirket, benim durumumda evimden iki mil uzaklıkta olan en yakın istasyona ücretsiz
teslim etti ve orada bir arabam ve bir çift atım vardı ve araba ona koştu ve arabaya sıkıca bağladı ve ağırlığı sadece yaklaşık otuz beş yüz kilo olduğu için fazla zorluk çekmeden getirildi,
ama ağır bir iş gibi görünüyordu.

Arka bahçemde yerine sabitlemek, oraya gitmekten daha fazla zaman ve zahmet gerektiriyordu. Ve birkaç yıl sonra ikametgahımı değiştirdiğimde, köyün demircisine arabanın her iki ucuna bir aks ve birkaç alçak
güçlü tekerlek taktırdım ve komşu çiftçilerden biri, birkaç at arabasıyla, kırsal nüfusun büyük eğlencesi ve sevinci için, onu kolayca yol boyunca yeni ikametgahıma götürdü. Her bölümün, bölgede sık sık ödül kazananlar olarak bilinen köpeklerimden bazılarıyla
doldurulması konusunda ısrar ettiler.

Aşağıdakiler, Amerika Birleşik Devletleri'nde yayınlanan "Boston Traveller" adlı eski bir gazetenin yetkisinde anlatılmaktadır: Boston'daki bir otelde kalan bir beyefendi, cebindeki mendili kahve odasındaki kanepe minderinin arkasına gizlice sakladı ve köpeğiyle birlikte otelden ayrıldı, bir süre yürüdükten sonra aniden durdu ve köpeğine, "Mendilimi otelde bıraktım, geri dön ve benim için al," dedi ve bununla ilgili özel bir talimat vermedi. Köpek hemen tam hızla geri döndü ve efendisinin az önce ayrıldığı odaya girdi. Doğrudan kanepeye gitti, ancak mendil gitmişti. Masalara ve tezgahlara atladı, ancak hiçbir yerde görünmüyordu. Efendisinin bir arkadaşının onu keşfettiği ve yanlışlıkla bırakıldığını varsayarak, sahibi için onunla ilgilendiği ortaya çıktı. Ancak "Tiger" engellenemedi. Görünüşe göre çok heyecanlı bir şekilde, "kaybolan veya çalınan"ı arayarak odanın etrafında uçtu. Ancak kısa süre sonra, yola çıktı ve onu beyefendinin ceketinin cebine kokladı. Ne yapılacaktı? Köpeğin, kulaktan kulağa, onu isteyebileceği bir yolu yoktu ve yankesicilik yapmaya alışkın değildi ve ayrıca beyefendi onunla olan işinden habersizdi. Ancak Tiger'ın sağduyusu, onun uzun süre merakta kalmasına izin vermedi. Ödülün bulunduğu eteği kaptı ve öfkeyle ceketinden kopardı, aceleyle, sahibinin büyük şaşkınlığına rağmen, onu alıp gitti. Tiger daha sonra efendisini yakaladı ve kaybolan eşyayı geri verdi. Hem köpeğin sahibi hem de ceketinin kuyruğunu kaybeden beyefendi, köpeğin sağduyusunu alkışladı.

Lambeth'teki St. Mary Kilisesi'nin güneydoğu penceresinde, sırt çantası, asası ve köpeğiyle birlikte bir seyyar satıcının tam boy figürü vardır. Bu, Lambeth cemaatine "Seyyar Satıcının Çiftliği"ni veren bilinmeyen adamın portresidir. Hikaye anlatılmaya değer. 1504 yılında, nehrin yakınındaki çorak bir araziden geçen fakir bir seyyar satıcı, dinlenmek için bir ağacın gövdesine oturdu. Burada otururken, köpeğinin çok garip davrandığını, ayaklarıyla toprağı eşelemekle meşgul olduğunu, havladığını ve etrafı kokladığını, ara sıra efendisine koşup yüzüne içtenlikle baktığını ve onu oturduğu yerden kaldırmaya çalıştığını fark etti. Seyyar satıcı ilk başta köpeğe pek dikkat etmemiş, ancak tekrar tekrar havlaması ve ileri geri koşması onu sonunda hayvanın ne istediğini görmeye zorlamış. Köpeğin tırmaladığı yere gittiğinde
aşağıda parlayan bir şey bulduğunda şaşırmış. O yeri kazdığında büyük miktarda para bulmuş ve bunun bir kısmıyla Lambeth'teki
aslen Seyyar Satıcılar Dönümü olarak bilinen, ancak şimdi Belvidere Yolu olarak adlandırılan araziyi satın almış.

Londra tarihçisi Maitland (1739 baskısı, sayfa 791) hikayeyi anlattığım şekilde anlatıyor, ancak seyyar satıcının
kendi portresinin ve köpeğinin portresinin kilisenin pencerelerinden birinde boyalı camda sürekli olarak saklanması şartıyla araziyi cemaate bıraktığını ekliyor. Bunun doğru olup olmadığını söyleyemem, ancak
efsane böyle ve orada adamın ve köpeğin portresinin olduğu boyalı pencere hala kanıt olarak duruyor.

Glasgow Chronicle'da bir Mastiff hakkında şu hikaye yer aldı:
Bir pazar sabahı erken saatlerde, birkaç hırsız,
Bay McLeod ve Pollock, Argyle Caddesi, Glasgow, kuyumcularının
işine tavan penceresinden girerek girmeye çalıştı. Bina bir kat yüksekliğindeydi ve
çatıya çıkmak nispeten kolaydı. Sabah saat iki civarında
işin arkasında oturan Bay McLeod, bekçi köpeğinin
hareketiyle uyandı. Hayvan havlamadı, ancak yatağa atladı ve efendisi ayağa kalkana kadar
ön ayaklarıyla tırmalamaya devam etti.
Köpek daha sonra alçak bir homurtu çıkardı ve efendisinin dikkatini o bölgeye çekmek ister gibi
çatıya doğru baktı.
Hemen ardından yere küçük bir cam parçası düştü ve Bay McLeod yukarı baktığında çatıda gizlice hareket eden bir adam gördü;
Polis bilgilendirildi ve köpeğin verdiği uyarıyla ve saklanmaya veya geri çekilmeye vakit bulamadan
içeri giren hırsızı tutukladı. BÖLÜM XXIII

KÖPEKLER HAKKINDA ANEKDOLAR (_Devam_)

Bay St. John'un "Highland Sports" adlı eserinde, bir çoban köpeğinin şu karakteristik anekdotu vardır: "Bir gün, komşum olan bir çoban,
çiftlik evinin mutfağında ateşin önünde yatan köpeğinin çevikliğini kanıtlamak için,
bir gün,
bana bambaşka bir konu hakkında
konuşurken 'Bayım, inek patateslere girdi' dedi, ama bu sözlere özellikle vurgu yapmamış ve bunları sessiz, ilgisiz bir ses tonuyla söylemişti, uyuyor gibi görünen köpek hemen
ayağa fırladı, açık pencereden atladı ve
evin çim çatısına tırmandı, oradan da patates tarlasını görebiliyordu. Onu orada göremeyince,
çiftlik bahçesine koştu ve onu orada bulunca, tamam,
eve geri döndü. Bir süre sonra, çoban aynı sözleri tekrar söyledi
ve köpek bakışını tekrarladı, ancak yanlış alarm üçüncü kez verildiğinde, köpek ayağa kalktı ve kuyruğunu sallayarak, efendisinin yüzüne öyle komik bir sorgu ifadesiyle baktı ki, içtenlikle gülmeden edemedik, bunun üzerine hafif bir homurtuyla
ocak halısının üzerindeki alışılmış yerinde uyumaya
başladı, sanki bir daha aptal yerine konmamaya kararlıymış gibi kırgın bir tavırla."

Köpekler veya köpek insanları hakkında bir şeyler bilen çoğu kişi, sahip olduğumuz en popüler ve yetenekli çok yönlü jürilerden biri olan Bay George Raper'ı tanır, ancak hepsi onun ne kadar canlı ve aktif bir adam olduğunu bilmez.
Bir sergici olarak uzun deneyimimde, kendimi ülkenin farklı yerlerinde sık sık onun şirketinde buldum ve genellikle
anlatacak iyi bir hikayesi veya yapacak eğlenceli bir şeyi olmuştur. Bir keresinde, biz ve birkaç kişi daha Güney Galler'de bir otelde kaldığımızda, Haverfordwest, Pembroke veya Tenby olup olmadığını şimdi hatırlamıyorum ama sanırım bu üçünden biriydi, çevikliğiyle yaşlı bir beyefendiyi (görünüşünde en ufak bir köpek veya spor olmayan) nasıl hayrete düşürmüştü. Otelin bar salonunda tonoz hakkında konuşuyorduk ve odada
alışılmış yüksek ve geniş kalay kaplı tezgah veya bar vardı. Ben, "Sanırım böyle bir
maddeyi pazarlık etmeye kalkışmazsınız," dedim. Bay Raper, "Bunu iyi bir şekilde denemeliyim," dedi ve daha fazla bir şey söylemeden geri çekildi, elini tezgahın ortasına koydu,
atladı ve sonra tekrar geri atladı; sessizce oturup bir şeyler içmekte olan yaşlı beyefendi ayağa fırladı ve, "Aman Tanrım, efendim, hayatımda böyle bir şey yapıldığını hiç görmedim!" dedi ve hepimizi yürekten güldürdü.

Kaptan Brown, "Popüler Doğa Tarihi" adlı eserinde, eskiden çok acınacak hayvanlar olan, köpeklerin "Turnspit" olarak kullanıldığı şu hikayeyi anlatır. "Dük de Leancourt'un mutfağında çalışmak için iki
Turnspit'i vardı ve bunlar her gün, düzenli olarak, sırayla
tekerleğin içinde dönüyorlardı (sincaplar ve fareler için döner kafeslerin tarzında bir şeydi). Bunlardan biri işini beğenmediği için,
çalışma sırası kendisine geldiğinde saklandı,
arkadaşını onun yerine tekerleğe binmeye
zorlamaya çalıştıklarında, diye bağırdı ve kuyruğunu sallayarak, yetkililere onu takip etmeleri için
ilan etti. Hemen onları üst kattaki bir kereste odasına götürdü, orada tembel köpeği yerinden oynattı ve onu
olduğu yerde güzelce dövdü."

Bay Baker'ın "Seylan'da Tüfek ve Tazı" adlı eserinde şöyle diyor: "Bir keresinde, yalnız ve sefil bir yer olan Illepecadewe'de atış yapıyordum ve hiç beklemediğim bir şekilde çok akıllı ve bağımsız bir sporcuyla karşılaştım. Bir arkadaşımla atış yapıyorduk ve birkaç yüz adım uzaklaşmıştık. O sırada çok sayıda Bezelye tavuğuyla karşılaştım ve tüfeğimle birini öldürdüm. Ateş açıldıktan hemen sonra, arkadaşımın gittiği yönde ormanda bir başka atış daha duydum. Tüfeğim henüz boşken, benekli bir dişi geyik ormandan dışarı fırladı ve ardından beyaz bir Pariah köpeği tam kovalamacadaydı. Herhangi bir evden üç veya dört milden daha uzakta bir köpekle karşılaşmayı kim hayal edebilirdi ki! Köpeğe ıslık çaldım ve beni şaşırtarak yanıma geldi, geyik ise inanılmaz kısa bir sürede görüş alanından tamamen kaybolmuştu. Bilgili ve vahşi ve açıkça kendi hesabına avlanıyordu. Tam bu sırada, arkadaşım bana bir geyiği
yaraladığını ve kanlı izi bulduğunu söyledi. Kanla
le kaplı yerden bir ot parçası aldım ve köpeğin burnuna tuttum, o da hevesle beni ize kadar takip etti ve ben de onu
bıraktım.

"Bir anda gitti, ama ben sessizce koştuğum için onu takip etmek zorunda kaldım ve
yarım milden fazla koştuktan sonra onu gözden kaybettim. Yaralı geyiğin izini
takip ederken, uzaktan bir köpeğin havlamasını duydum, bundan
onu köşeye sıkıştırdığını anladım ve kısa süre sonra oraya vardım. Geyik
küçük bir açıklıkta mevzilenmişti ve köpeğe
öfkeyle saldırıyordu, ama tehlikeyi göze almak için fazlasıyla bilgiliydi ve
yolundan uzak duruyordu. Geyiği vurdum ve bir parça orman ipini
köpeğin boynuna bağlayarak, onu bir silah taşıyıcısına verdim, çünkü umarım
yaralı bir geyiği avlamakta yine işe yarardı. Yarım milden fazla
gitmemiştim ki, çoğu yeri sazlar ve nilüferlerle kaplı küçük, durgun bir derenin
kenarına geldik.

"Buradan kalçalarımıza kadar yürüdük, ama
silah taşıyıcısı köpek onunla birlikte, dilsiz arkadaşımızı takip etmeye ikna edemedi;
şiddetle geri çekildi ve küçüldü ve suya yaklaşırken her türlü korku belirtisini gösterdi. Artık
geçmiştim ve karşı kıyıdaydım, ancak hiçbir şey köpeği gönüllü olarak nehre yaklaşmaya
indiremeyeceği için, silah taşıyıcısına onu zorla çekmesini söyledim. O da buna göre yaptı ve köpek çılgınca çabalarla
nehir boyunca yüzdü ve başını tutulduğu orman ipinden çıkarmayı başardı. Karaya vardığı anda, dik bir
bankadan yukarı koştu ve altındaki suya dikkatle baktı. Şimdi, tehlikeli geçidi geçmeyi
reddettiği için ona teşekkür ettik.

"Sazlar sağa ve sola doğru eğildi, yaklaşık on sekiz fit uzunluğundaki devasa bir timsah sığ yatağından derin bir çukura yavaşça hareket etti. Köpek sağa döndü ve bacaklarının onu taşıyabildiği kadar hızlı
koştu. Hiçbir çağrı veya ıslık onu geri dönmeye ikna edemedi
ve onu bir daha hiç görmedim. Nehirde gizlenmiş büyük bir timsahın yattığını nasıl bildiğini bilmiyorum, muhtemelen daha önce bu yaratıklarla tatsız bir deneyim yaşamıştı ve öğrendiği
dersten yararlanmaya kararlı görünüyordu. Ülkedeki vahşi sporlarda edindiğim deneyimi kullanarak, avlanma silahları
fikirlerime göre iyi silahlanmış olarak çıktım. Özel olarak siparişime ve kendi modelime göre yapılmış dört çift namlulu tüfeğim vardı, av bıçaklarım ve yaban domuzu mızrak uçları da kendi tasarımımdı ve Seylan'a
güzel bir Foxhound sürüsü ve harika bir tazı olan 'Bran' ile
vardım. hız ve güç. Yeni bir yerleşimin getirdiği olağan dezavantajlar ve rahatsızlıklar
aşıldıktan sonra, Newera Ellia
hoş bir ikamet yeri oluşturdu. Ancak kısa süre sonra şunu keşfettim
Tilki Tazıları ormanla çevrili bir ülkeye hiç de uyum sağlamamıştı,
tazıların bir kısmı kayboldu, diğerlerinden ayrıldım ve yavruları, Pointer'lar, Bloodhound'lar ve diğer türlerle
çiftleştirildiğinde, Elk avcılığı için yararlı bir damga olduğunu kanıtladı.

"Bu spor için her bakımdan mükemmel olacak bir sürü oluşturmak zordur.
Bazen karakter olarak muhteşem bir tazı, görünüşte bir kasap köpeğine daha çok benzeyebilir, ancak sürü, işinde gerçekten değerini
kanıtlamışsa ondan ayrılmayı göze alamaz. Leoparlar,
Yaban Domuzları, Elk'ler ve kaybolan köpeklerin verdiği kayıplar o kadar fazladır ki sürü,
üretimle aşırı zorlukla ayakta tutulmaktadır.

"Kaybolan bir köpeğin yerinin Seylan'da kolayca
bulunamayacağını unutmamak gerekir! Newera Ellia, adada iklimin bir köpeğin yapısına uygun olduğu birkaç yerden biridir. Alçak ve sıcak iklimlerde kısa ve sefil bir hayat sürerler ve bu kaçınılmaz karaciğer rahatsızlığıyla
son bulur; bu nedenle, sürünün beslenmesi için üreme yoluyla bir tedarik sağlanamıyorsa, zaman zaman İngiltere'den tazılar tedarik edilmelidir ve bunun da çok riskli ve büyük masraflı olduğunu söylemeye gerek yok."

Kent'teki Maidstone fuarında köpeklerimi sergilediğim son zamanlardan birinde, oradaki sekreterle yaptığım bir sohbet beni oldukça eğlendirdi. "Sizi her gördüğümde, efendim, köpeğinizi düşünüyorum." dedi. Hangi köpekten bahsettiğini sordum. "Sizin Dandie'lerinizden biri, sanırım bir
şampiyondu (Şampiyon Rob Roy muydu, yoksa Şampiyon Laird miydi unuttum,
ama sanırım ilkiydi). Gösteri bitmeden ayrılmak zorundaydınız, bu sizin için çok sıra dışıydı, beyefendi ve benden köpeklerinizin paketlenmesini görmemi istediniz; tüm kutuların ve sepetlerin olduğu binadaydım, bir çıtırtı sesi duydum ve oraya doğru baktığımda, bir köpeğin başını ve hemen ardından vücudunun sepetlerden birinden çıktığını gördüm ve köpeğin binada yürüdüğünü ve paketlerin arasında arama yaptığını gördüm, aradığını bulduğunda, burnuyla kapağı kaldırdı, içine atladı ve uzandı; hemen paketin üzerinde hangi isim ve numara olduğunu görmek için yanına gittim ve köpeklerinizden birinin, bir dikkatsizlik sonucu, yanlış sepete konduğunu gördüm ve bunun doğru sepet olmadığını anlayınca, dışarı çıktı, doğru seyahat sepetini aradı ve buldu ve içine uzandı, eve gönderilmeye hazırdı. Köpeğin bu davranışını o kadar akıllı ve zeki buldum ki
asla unutmadım ve köpeklerle ilgilenen
arkadaşlarıma sık sık bundan bahsettim. "

Köpek hakkında, 1829'da, yani tam yetmiş yıl önce "Arcana of Science"da yer alan şu ifadeler, günümüzdeki okuyucularımın bir kısmı için ilginç olabilir: "Köpek rüya gören tek hayvandır, o
ve fil bakışları ve ifadeleri anlayan tek hayvanlardır;
fil can sıkıntısı hisseden tek dört ayaklı hayvandır; köpek
konuşmaya getirilen tek dört ayaklıdır. Saksonya'da Profesör Leibnitz, bir tazının otuz kelimeyi açıkça söylediğini
duymuştu."

Köpeğin konuşma yeteneğinden şüphe etmeye meyilliyim, ancak
her şeyi yapabilen, ancak
konuşan birçok hayvan gördüm.

Ünlü Fransız doğa bilimci Buffon, köpek hakkında şöyle der: "İnsandan
daha uysal, diğer tüm hayvanlardan daha itaatkar, sadece kısa sürede eğitilmekle kalmıyor, aynı zamanda
kendisi üzerinde otoritesi olanların tavır ve eğilimlerine de uyum sağlıyor. Tonunu oturduğu evden alıyor, ev hizmetçilerinin geri kalanı gibi, büyükler arasında küçümseyici ve soytarılar arasında kaba. Efendisine hizmet etmekte her zaman gayretli ve sadece arkadaşlarına karşı dost canlısı; diğer herkese karşı kayıtsız ve kendisi gibi bağımlı olanlara karşı açıkça kendini ilan ediyor. Bir dilenciyi sesinden, giysisinden veya jestlerinden tanır
ve yaklaşımına meydan okur. Gece veya başka durumlarda, evin korunması
kendisine emanet edildiğinde, bu görevden gurur duyar, uyanık bir nöbet tutmaya devam eder, turlar atar, uzaktan
yabancıları koklar ve onlara görev başında olduğunu bildirir. Eğer bölgesine girmeye çalışırlarsa, daha vahşi olur, onlara
uçar, tehdit eder, dövüşür ve ya tek başına fetheder ya da yardımına gelmekle en çok ilgilenenleri
tehdit eder, ancak fethettiğinde, hemen dinlenir ve başkalarının kötüye kullanmasını engellediği şeylerden
uzaklaşır, böylece bir anda cesaret,
ölçülülük ve sadakat dersi verir."

Sanırım Mayıs 1881'de, köpeklerle ilgili en büyük kayıplarımdan birini yaşadım. O zamanlar, "Lady
Rozelle" adını verdiğim çok iyi bilinen ve yüksek sınıf, tamamen beyaz, orta büyüklükte bir Bull Dişi'nin sahibiydim (portresi bu kitabın çizimlerinden birinde yer alır, ayrıca kendi soyunda daha da çok
ünlenen Smooth Collie Dişim "Lady Nellie"ninki de öyle) ve tüm önde gelen şovlarda çok sayıda ödül almıştım. Sadece bir tane almak istiyordum dahası, Bull Dog Kulübü'nün altın
madalyasını. Hem bronz hem de gümüş madalyaları çoktan almıştı ve ben de büyük ödül kazananlarımın günlerini her zaman gösterilerin yorgunluğundan ve heyecanından uzak, huzur ve rahatlık içinde bitirmelerini sağlamaya çalıştığım için, onun defnelerine yatmasını istedim ve
sahiplerine iyi hizmet etmiş hayvanların, ülkenin her yerinde Çeşitlilik ve Satış sınıflarında
dolaştırıldığını görmekten asla hoşlanmam. Aldridge's, St. Martin's Lane'e, Bull Dog Kulübü'nün gösterisinin yapılacağı yere gittiğimde hava çok sıcak ve boğucuydu ve Paddington'a vardığımda, kutusunu bir taksinin çatısına koydurdum ve gösteriye
gittim, ancak orada, tesadüfen, eski dostum Bay J. W. Berrie, o zamanlar ve şimdi, Bull Dog Kulübü'nün başkanı, açtığında, orada bulunan herkesin güzel dişi köpeğimin gerçekten taş kesilmiş olduğunu ve vücudunun görünümünden, sıcaklığın felç geçirmesine ve ölümün çok
ani olmasına neden olduğunu düşünerek dehşete düştüğünü düşünüyorum. Elbette, bu gibi durumlarda her zamanki gibi, o zamanlar onu çok
uzun bir fiyat olduğu düşünülen 250 £'ya satın almak isteyen biri vardı.

Köpekler, çağlar boyunca batıl inançlarda önemli rol oynamıştır, şimdi ise mutlu bir şekilde
geçti. Köpek kapıya dayanıp uluduğunda, aileden birinin öleceği iddia ediliyordu. Yaşlı kadınların, zayıf ve yoksulluk içinde oldukları için cadı olduklarından şüpheleniliyor ve her zaman bir kedi veya köpekleri olması gerekiyordu. Bu köpeklerin "Yakınları" olduğu ve Karanlığın Ruhu ile iletişim kurmalarına olanak sağlandığı söyleniyordu. Karanlık veya fırtınalı bir gecede siyah bir köpekle karşılaşmak çok uğursuz bir işaret olarak kabul ediliyordu; köpeklerin kötü ruhlar tarafından ele geçirildiği ve kötüleri rahatsız ettiği söyleniyordu. Birden fazla hikayede kötü olanın kendisinin sadık bir dost ve yoldaş olduğu belirtiliyor. Köpeklerle ilgili bu anekdotları merhum ünlü sporcu Sayın'ın verdiği şu mükemmel tavsiyeyle sonlandıracağım. Grantley Berkeley, "The Field" sayfalarında, kırk yıldan fazla bir süre önce: "Bir köpeği cezalandırmadan önce, sadece onun hatalı olduğundan emin olmakla kalmayın,
ayrıca kendisinin hangi konuda yanlış yaptığını anladığından da emin olun. Onu o kadar şiddetli cezalandırmayın ki, dehşet ve acı birleşip, neden ve niçini hastanın hafızasından
silinsin, eğer bunu yaparsanız, köpeği sindirirsiniz, tavırlarını düzeltmeden.
Köpeklere numaralar öğretmek (genel olarak ve geçimini gösteri köpekleri istihdamıyla sağlayanlara ait köpekler olmadıkları sürece) kartlarla, sayılarla veya harflerle, bir sporcuya son derece aykırıdır ve köpek ırkının yararlı ve düşünme yeteneklerine hakarettir!"

BÖLÜM XXIV

GENEL YÖNETİM VE KÖPEKLERİN YAKALANDIĞI BAZI BASİT HASTALIKLAR VE TEDAVİLERİ HAKKINDA BİRKAÇ SÖZ

Bu birkaç pratik talimat ve öneri, beceri ve deneyimi genellikle ciddi nitelikteki vakalarla başa çıkmada en büyük değere sahip olan veteriner cerrahın yerini almak için tasarlanmamıştır, ancak deneyimsiz kişilere acil durumlarda ne yapmaları gerektiği konusunda bir fikir vermek içindir; çünkü, hayvanların hastalanması veya kaza geçirmesi durumunda, hemen tedavi genellikle en önemli şeydir.

Bir sahip veya bakıcı ile köpekleri arasında bir "sempati bağı" olması gerektiğini söyleyebilirim ve böyle olduğunda, sağlıkta veya hastalıkta, özellikle de ikincisinde, onlarla başa çıkmak çok daha kolay olacaktır.

Kötü yönetimin diğer tüm sebeplerden daha fazla soruna yol açtığına inanıyorum ve eğer sadece "temizlik, yiyecek ve egzersiz" olmak üzere üç temel noktaya uygun şekilde dikkat edilirse, kulübedeki sakinlerle ilgili pek fazla sorun olmayacaktır.

Uzun yıllardır sayıları on beş ila elli arasında değişen küçük bir köpek grubu besliyorum, ancak her türden canlı hayvanla sürekli olarak _kazalar_ meydana gelse de, köpeklerim arasında, genel olarak beklenen sıradan rahatsızlıklar dışında, şaşırtıcı derecede az hastalık yaşadım ve bunu esas olarak temizliği ve bol egzersizi sağlamaya ve sakinlerin iştahlarına uygun, karakter ve miktar olarak değişen yiyecekler sağlamaya çalışıyorum.

Yemek konusundayken şunu söyleyebilirim ki, kışın veya çok soğuk havalarda, "soğuk olmadan" verilmesi iyi olsa da, genel olarak sıcak olmasına izin vermemek daha iyidir, çünkü köpekler için doğal olmadığı ve sindirim güçlerini zayıflatma eğiliminde olduğu düşünülür.

Ayrıca, kaçınılmaz olduğu tazı sürüleri hariç (ancak genellikle aşırı "fikir ayrılıklarından" kaçınmak için bazı kulübe görevlileri ve hizmetçiler eşlik eder), iki veya daha fazla köpeği birlikte beslememek en iyisidir, çünkü genellikle daha güçlü olan üye daha zayıf olanı alt eder ve belki de kendi payından fazlasını tüketir; bunu yavru köpekler arasında bile fark edeceksiniz.

Bir sahip veya bekçi, her birine ne kadar verileceğini yakında öğrenecek ve
tavanın
çıkarılması veya yıkanması ve tek başına
saklanması durumunda, aksi takdirde
ya da oyun sırasında bozulabileceğinden dolayı
su ile doldurulması gerektiğinde, _zamanında_ bitirilecek kadarını verecektir. Aileleri veya yavruları olan dişi köpekler hariç, iki veya daha fazla öğün verilebilir, günde bir kez, en uygun şekilde, sabah veya akşam, her birine iştahla yiyebileceği kadar, daha sık çeşitlilikte, daha iyi, "Giriş"te söylediğim gibi, vermek olağandır. Yavruların doğumunda herhangi bir zorluk yaşanmadığı sürece, yetenekli yardım alındığında, dişi köpek ne kadar az rahatsız edilirse o kadar iyidir, ancak birkaç gün sonra yavruları incelemek ve deforme olmuş veya kusurlu olanları yok etmek ve makul bir şekilde yetiştirebileceğinden fazla yavru varsa, bazılarını gazetelerde köpekler ve köpek meseleleriyle ilgili olarak sık sık ilan edilen bir "bakıcı anne"ye vermek iyi olur, eğer kendi bölgenizde bu mümkün değilse, böyle bir durumda, tüm bakıcı yavruları bir kerede almamak, bunun yerine yeni gelenleri (bakıcı anne yoksa) kalan yavruların arasına dahil etmek ve onları birbirine karıştırarak _benzer kokmalarını sağlamak_ ve tutulması istenmeyenleri yavaş yavaş ayıklamak en iyisidir. Üç haftalık olduktan sonra, yavrulara ekmek ve süt verilmelidir, bu annelerin emzirmelerine yardımcı olacaktır ve bu sıralarda, kuyruklarının kısaltılması gereken bir cins varsa, çok keskin olmayan güçlü bir makasla, kesmeden önce bir eklemi hissederek bir parça kesilebilir ve dikkatli bir şekilde yapılırsa, sadece anlık bir
acıya neden olur ve kısa sürede iyileşir.

Altı haftalık olduklarında, yavrular annelerinden tamamen alınabilir ve
eğer anne sütten biraz rahatsız görünüyorsa, arada sırada parmak ve başparmakla sütü sıkın ve meme uçlarını sirke ve suyla kaplayın, bu genellikle şişmeyi veya iltihabı önler ve sütün kurumasına yardımcı olur.

Bazen köpeklerin dillerinin altında bir kurt olduğu ve bunun çıkarılması gerektiğiyle ilgili duyulan hikayelerin _tamamen saçmalık_ olduğunu ve bunlara inanılmaması gerektiğini söylememe gerek yok.

Bazen köpeklerin pençeleri yeterince çalıştırılmadığında çok uzar
ve kısaltılması gerekir, ancak bu keskin bir "pense" ile kolayca yapılabilir.

